,Prices_5_1,Strategy_Returns_5_1,F_t_5_1
0,428.96,-0.037040442,0.0
1,438.82,1.2059926,0.9260111
2,440.17,8.124713,0.74896085
3,449.46,6.9403424,-0.22918326
4,454.43,-7.112642,0.90406466
5,438.89,-4.5437775,0.9995596
6,441.46,-5.333586,0.99965453
7,440.67,-2.041509,0.99761945
8,443.97,1.2250755,0.99594855
9,447.25,2.0343435,0.9991214
10,448.06,2.8740294,0.99963033
11,448.9,0.23476872,0.999717
12,446.26,0.15477306,0.99991333
13,446.18,39.69391,0.99997807
14,485.72,45.74378,0.9999795
15,491.77,78.54945,0.9998682
16,524.58,74.190506,0.999736
17,520.22,79.09697,0.99726903
18,525.14,125.53603,0.9997646
19,571.59,137.36461,0.9998798
20,583.42,125.18501,0.99996686
21,571.24,131.00467,0.9999432
22,577.06,122.12932,0.99947345
23,568.18,169.27628,0.9999354
24,615.33,177.62561,0.9999212
25,623.68,184.17522,0.99994063
26,630.23,214.55447,0.99965185
27,660.62,221.50446,0.99572366
28,667.6,195.51495,0.9999809
29,641.61,213.16484,0.99999315
30,659.26,207.60487,0.99999356
31,653.7,208.87486,0.9999905
32,654.97,210.04483,0.9999722
33,656.14,203.06491,0.9999887
34,649.16,207.05486,0.99998635
35,653.15,186.9251,0.9999876
36,633.02,140.8556,0.99998903
37,586.95,154.06471,0.9999365
38,600.16,131.29562,0.9986425
39,577.36,146.86794,0.9995067
40,592.94,146.11806,0.9997465
41,592.19,164.75032,0.9979827
42,610.86,161.85088,0.9997611
43,607.96,151.99611,0.9964268
44,598.07,148.07927,0.99918807
45,594.15,148.91893,0.99966145
46,594.99,156.18768,0.9984611
47,602.27,147.92026,0.997069
48,593.98,136.80872,0.9541538
49,582.36,131.22081,0.34728712
50,566.34,145.37733,0.9565412
51,581.14,160.91031,0.96361923
52,597.26,160.21521,0.9780147
53,596.55,166.35776,0.9955673
54,602.72,203.17438,0.9929461
55,639.8,204.12915,0.94739366
56,640.81,214.19603,0.99969023
57,650.88,208.47668,0.99988437
58,645.16,194.00783,0.99992126
59,630.69,194.7778,0.9999704
60,631.46,199.12775,0.99998736
61,635.81,187.4078,0.9999949
62,624.09,188.13765,0.9999711
63,624.82,187.82855,0.9967468
64,624.51,180.08234,0.99948967
65,616.76,195.25224,0.9954116
66,632.0,196.96155,0.99959666
67,633.71,189.75267,0.99984336
68,626.5,182.57323,0.9999219
69,619.32,184.8431,0.9999394
70,621.59,180.05322,0.9999729
71,616.8,186.34305,0.9999733
72,623.09,192.03291,0.99997634
73,628.78,191.77292,0.99994534
74,628.52,187.1543,0.9996993
75,623.9,185.46556,0.999144
76,622.21,184.80898,0.99482113
77,621.55,182.68019,0.9947407
78,619.41,165.11417,0.99350095
79,601.73,164.49236,0.970596
80,601.09,159.45006,0.9546387
81,595.81,157.49112,0.9994561
82,593.85,149.33255,0.9998249
83,585.69,148.36267,0.999871
84,584.72,130.93617,0.9997976
85,567.29,149.86479,0.9993991
86,586.23,158.5523,0.9997152
87,594.92,152.96304,0.9998635
88,589.33,150.30447,0.99945337
89,586.67,152.41136,0.998542
90,588.78,149.07431,0.9991181
91,585.44,148.28484,0.9993105
92,584.65,152.50388,0.9997748
93,588.87,156.21274,0.99971986
94,592.58,153.01128,0.9973129
95,589.37,154.69283,0.99507606
96,591.06,140.02646,0.99838805
97,576.37,133.3147,0.9972817
98,569.64,110.36533,0.9986661
99,546.66,69.70795,0.99919826
100,505.97,60.751877,0.9995605
101,497.01,83.4434,0.99962693
102,519.71,55.536476,0.99988973
103,491.8,25.198671,0.99992746
104,461.46,48.973164,0.999769
105,485.24,75.69639,0.9993735
106,511.98,80.95591,0.99990845
107,517.24,77.75616,0.9999171
108,514.04,61.80404,0.999497
109,498.08,71.97224,0.9959066
110,508.29,66.204865,0.9960726
111,502.5,75.265785,0.9990018
112,511.57,74.84544,0.99951535
113,511.15,71.56037,0.9858909
114,507.82,72.214226,0.9344352
115,508.52,68.248795,0.92810035
116,504.25,42.045616,0.98916143
117,477.76,39.17524,0.99635816
118,474.88,41.660492,0.9747342
119,477.43,41.81708,0.98279387
120,477.59,53.877872,0.99923956
121,489.66,47.558075,0.9999678
122,483.34,49.04806,0.99999225
123,484.83,46.498085,0.99999195
124,482.28,38.818115,0.9999958
125,474.6,39.478104,0.9999921
126,475.26,43.57756,0.99986845
127,479.36,43.96747,0.99976754
128,479.75,41.967606,0.99988365
129,477.75,43.213257,0.997527
130,479.0,42.139748,0.9661461
131,477.89,39.636147,0.9933998
132,475.37,30.333187,0.9992424
133,466.06,21.60744,0.9995106
134,457.33,-11.250423,0.9990203
135,424.44,-40.797585,0.9968644
136,394.8,-26.70657,0.9993633
137,408.9,-36.777756,0.99912274
138,398.82,-33.44835,0.9998225
139,402.15,0.18452975,0.99978846
140,435.79,-12.399864,0.9995536
141,423.2,-24.028692,0.9998992
142,411.57,-31.177828,0.999877
143,404.42,-36.075386,0.99950004
144,399.52,-58.408703,0.999697
145,377.18,-60.114555,0.9975553
146,375.47,-48.663254,0.9983704
147,386.94,-51.98844,0.99851686
148,383.61,-60.48873,0.9953352
149,375.07,-76.02622,0.99853426
150,359.51,-106.39423,0.99110407
151,328.87,-114.5589,0.97658026
152,320.51,-105.103645,0.98804677
153,330.08,-99.01257,0.99691
154,336.19,-82.29672,0.99796426
155,352.94,-70.248726,0.9965365
156,365.03,-73.71754,0.99965364
157,361.56,-72.97756,0.9999585
158,362.3,-56.72779,0.9999861
159,378.55,-44.868008,0.99998194
160,390.41,-34.40872,0.9999372
161,400.87,-40.50149,0.9986293
162,394.77,-52.34935,0.970267
163,382.56,-51.158154,0.9927247
164,383.76,-43.54884,0.9908332
165,391.44,-45.434967,0.99791104
166,389.55,-52.1341,0.99986815
167,382.85,-48.50603,0.9994691
168,386.48,-51.824608,0.9995673
169,383.16,-76.56228,0.9999056
170,358.42,-76.63228,0.9999783
171,358.35,-87.71139,0.99992
172,347.27,-80.28188,0.9999343
173,354.7,-81.99187,0.99999046
174,352.99,-77.3619,0.99999183
175,357.62,-99.39165,0.99998844
176,335.59,-89.68208,0.9999566
177,345.3,-96.65991,0.9996848
178,338.32,-109.21556,0.9988541
179,325.75,-109.076065,0.9976118
180,325.89,-107.42728,0.99330217
181,327.55,-104.500275,0.99560475
182,330.49,-95.524055,0.99739033
183,339.49,-85.82168,0.9900382
184,349.29,-92.62308,0.99001384
185,342.42,-89.58378,0.99009746
186,345.49,-71.85501,0.997684
187,363.26,-68.1965,0.99959373
188,366.92,-67.417015,0.999412
189,367.7,-11.663099,0.99810153
190,423.56,-14.485498,0.9972827
191,420.73,-37.384274,0.9995096
192,397.82,-59.070496,0.9998257
193,376.13,-47.322918,0.9997945
194,387.88,-47.792904,0.9999713
195,387.41,-60.002563,0.9999716
196,375.2,-54.653477,0.9998334
197,380.55,-77.347626,0.9992963
198,357.84,-84.31056,0.9961068
199,350.85,-82.2406,0.99998325
200,352.92,-67.59085,0.99998254
201,367.57,-58.260986,0.99998635
202,376.9,-59.81075,0.9998428
203,375.35,-66.79034,0.999941
204,368.37,-65.490425,0.9999302
205,369.67,-58.7109,0.9999302
206,376.45,-59.670868,0.9999535
207,375.49,-57.11174,0.99968517
208,378.05,-55.92422,0.99798745
209,379.24,-53.85284,0.9958962
210,381.32,-60.150635,0.99805295
211,375.01,-65.539795,0.99607867
212,369.6,-58.38726,0.9866695
213,376.85,-60.378956,0.96622354
214,374.79,-60.090878,0.9343381
215,375.1,-72.93181,0.97345513
216,361.91,-82.621346,0.9999523
217,352.22,-88.48121,0.99997616
218,346.36,-84.331505,0.99993
219,350.51,-82.30186,0.9998281
220,352.54,-87.46151,0.99993205
221,347.38,-83.21187,0.99991506
222,351.63,-89.49097,0.99985605
223,345.35,-107.77926,0.9999059
224,327.06,-115.05699,0.99968183
225,319.78,-123.4248,0.9985419
226,311.4,-116.99869,0.9978497
227,317.84,-104.891174,0.9989713
228,329.96,-114.00453,0.9992722
229,320.84,-102.96336,0.99921286
230,331.89,-100.2943,0.9959427
231,334.57,-112.30386,0.99746555
232,322.53,-115.82176,0.9993888
233,319.01,-106.92847,0.99812895
234,327.92,-118.977974,0.99912965
235,315.86,-117.5993,0.9990494
236,317.24,-122.164536,0.99895626
237,312.67,-124.09323,0.9993108
238,310.74,-114.65524,0.9987331
239,320.19,-120.59304,0.9996283
240,314.25,-119.81319,0.99981594
241,315.03,-153.75311,0.9997027
242,281.08,-170.62071,0.9992647
243,264.2,-160.35422,0.99966013
244,274.47,-148.64206,0.99933237
245,286.19,-140.49295,0.9998913
246,294.34,-151.48059,0.99978316
247,283.35,-144.42467,0.99942565
248,290.41,-160.03311,0.99990094
249,274.8,-169.17252,0.9999344
250,265.66,-167.0327,0.9999268
251,267.8,-208.93929,0.99919677
252,225.86,-256.33572,0.99238676
253,178.1,-224.87743,0.9911342
254,209.84,-226.61514,0.9986647
255,208.1,-235.45262,0.9997121
256,199.26,-224.3832,0.99907047
257,210.34,-219.89832,0.9922397
258,214.86,-223.41519,0.9934265
259,211.32,-207.88254,0.9969688
260,226.9,-201.37308,0.9999189
261,233.41,-201.90318,0.99977624
262,232.88,-187.02155,0.9941059
263,247.85,-181.16615,0.99752617
264,253.72,-161.42215,0.99969673
265,273.47,-171.41118,0.999902
266,263.48,-200.97629,0.9998338
267,233.91,-201.37837,0.99945176
268,233.51,-208.04688,0.9417789
269,226.43,-216.33672,0.9238517
270,217.46,-206.86588,0.9958842
271,226.97,-195.64491,0.99654454
272,238.23,-206.60176,0.99971163
273,227.27,-207.02171,0.9998828
274,226.85,-216.76167,0.999996
275,217.11,-211.6017,0.99999624
276,222.27,-206.12172,0.9999955
277,227.75,-210.4617,0.999996
278,223.41,-213.76166,0.99995583
279,220.11,-214.03105,0.9973964
280,219.84,-214.69096,0.9998512
281,219.18,-212.11154,0.999803
282,221.76,-198.46928,0.9979718
283,235.43,-176.6344,0.997493
284,257.32,-198.95102,0.99181426
285,234.82,-199.90417,0.97169614
286,233.84,-190.19275,0.9940134
287,243.61,-197.44533,0.99622166
288,236.33,-193.50139,0.9984742
289,240.28,-190.00423,0.99919385
290,243.78,-189.25453,0.9996234
291,244.53,-197.80417,0.99995863
292,235.98,-194.89426,0.99996924
293,238.89,-195.04427,0.9999321
294,238.74,-196.31398,0.9997715
295,237.47,-197.35341,0.9994507
296,236.43,-179.96552,0.9993059
297,253.83,-179.53566,0.99967736
298,254.26,-173.596,0.99994504
299,260.2,-158.12755,0.9998991
300,275.67,-152.09848,0.9998455
301,281.7,-160.70613,0.9997257
302,273.09,-157.6167,0.99981564
303,276.18,-161.07619,0.9998495
304,272.72,-157.53691,0.99979824
305,276.26,-159.44595,0.9994972
306,274.35,-144.19775,0.999229
307,289.61,-142.05135,0.9983561
308,291.76,-137.4446,0.99715394
309,296.38,-139.474,0.99970543
310,294.35,-148.48347,0.99994034
311,285.34,-151.9327,0.99977326
312,281.89,-147.43349,0.99982405
313,286.39,-143.23386,0.99991345
314,290.59,-148.3133,0.999889
315,285.51,-177.51904,0.9998544
316,256.3,-172.88942,0.9999164
317,260.93,-172.0695,0.9999068
318,261.75,-173.7993,0.9998853
319,260.02,-165.86038,0.9998702
320,267.96,-167.07892,0.99875075
321,266.74,-188.1593,0.9971788
322,245.6,-187.56148,0.9965684
323,246.2,-185.23273,0.99946517
324,248.53,-186.73236,0.99972874
325,247.03,-180.9679,0.99904007
326,252.8,-191.04916,0.99913424
327,242.71,-186.2325,0.99931777
328,247.53,-189.53711,0.99835956
329,244.22,-186.48907,0.9993569
330,247.27,-180.75465,0.99907786
331,253.01,-179.4554,0.9920478
332,254.32,-180.066,0.9839453
333,253.7,-173.17981,0.9980063
334,260.6,-178.28537,0.99912584
335,255.49,-180.595,0.9998392
336,253.18,-188.75166,0.9995884
337,245.02,-190.09062,0.99921227
338,243.68,-197.69717,0.9995456
339,236.07,-197.21725,0.9998278
340,236.55,-197.61723,0.9999386
341,236.15,-209.17595,0.99988455
342,224.59,-214.59872,0.9986639
343,219.16,-209.93127,0.99945736
344,223.83,-205.19267,0.99970704
345,228.57,-210.88191,0.9998664
346,222.88,-210.40196,0.99989873
347,223.36,-211.16188,0.9998753
348,222.6,-209.1331,0.9994033
349,224.63,-198.49643,0.9996877
350,235.27,-199.58618,0.9997662
351,234.18,-197.30742,0.9994625
352,236.46,-202.49316,0.9991653
353,231.27,-207.36092,0.9974782
354,226.39,-214.31499,0.9991429
355,219.43,-204.47168,0.9983073
356,229.29,-207.90625,0.9984188
357,225.85,-207.9462,0.99828804
358,225.81,-197.62856,0.9978437
359,236.15,-201.69514,0.99915564
360,232.08,-198.84557,0.99985135
361,234.93,-193.41621,0.999881
362,240.36,-194.75604,0.9998723
363,239.02,-197.65564,0.99985945
364,236.12,-203.99452,0.99982405
365,229.78,-196.44536,0.99988884
366,237.33,-189.91605,0.99989533
367,243.86,-191.9458,0.9998763
368,241.83,-193.47548,0.99977267
369,240.3,-191.61743,0.99896514
370,242.16,-192.66682,0.999418
371,241.11,-197.39586,0.9997926
372,236.38,-196.84607,0.99960643
373,236.93,-196.17644,0.99949986
374,237.6,-197.62491,0.99893767
375,236.15,-196.97536,0.9993495
376,236.8,-200.64484,0.99985945
377,233.13,-201.82468,0.99986017
378,231.95,-199.75493,0.99987495
379,234.02,-198.43521,0.99979883
380,235.34,-193.4268,0.9996855
381,240.35,-194.9056,0.99917203
382,238.87,-192.8265,0.99956656
383,240.95,-196.66415,0.99938565
384,237.11,-196.65417,0.99919486
385,237.12,-196.49423,0.9997246
386,237.28,-196.3643,0.99948174
387,237.41,-196.67416,0.99955004
388,237.1,-200.42274,0.99961907
389,233.35,-203.58105,0.9994636
390,230.19,-210.83696,0.99943304
391,222.93,-207.97029,0.9988456
392,225.8,-207.90034,0.99948025
393,225.87,-209.44978,0.9996449
394,224.32,-208.82002,0.999622
395,224.95,-208.15033,0.99956435
396,225.62,-210.88962,0.9997397
397,222.88,-205.28076,0.99979544
398,228.49,-204.72095,0.9996879
399,229.05,-204.97087,0.9997089
400,228.8,-204.06125,0.9995954
401,229.71,-203.79138,0.99953496
402,229.98,-201.37227,0.9996343
403,232.4,-200.233,0.9993738
404,233.54,-196.95581,0.99914324
405,236.82,-182.88857,0.9990945
406,250.9,-184.50662,0.99877584
407,249.28,-184.77649,0.9995266
408,249.01,-189.1744,0.9995219
409,244.61,-188.57465,0.9995839
410,245.21,-189.84428,0.99972034
411,243.94,-186.79512,0.99972904
412,246.99,-189.4846,0.9998092
413,244.3,-193.27379,0.99978656
414,240.51,-190.98427,0.999792
415,242.8,-190.19437,0.99987644
416,243.59,-182.79538,0.9998639
417,250.99,-184.77495,0.999776
418,249.01,-176.72708,0.9997348
419,257.06,-170.71867,0.99973404
420,263.07,-175.16743,0.99972063
421,258.62,-178.37697,0.99985546
422,255.41,-177.44717,0.99979347
423,256.34,-172.89879,0.9996461
424,260.89,-161.88132,0.999771
425,271.91,-164.76024,0.9996229
426,269.03,-167.57906,0.9995772
427,266.21,-163.00336,0.9990628
428,270.79,-164.5616,0.9988562
429,269.23,-148.909,0.99952877
430,284.89,-140.69458,0.9993206
431,293.11,-122.94766,0.99926424
432,310.87,-141.76315,0.9997602
433,292.05,-146.3518,0.99970496
434,287.46,-147.98167,0.9999127
435,285.83,-155.7208,0.99988616
436,278.09,-154.34088,0.9999313
437,279.47,-158.91008,0.9998229
438,274.9,-160.19955,0.9995829
439,273.61,-154.83142,0.99965227
440,278.98,-157.97987,0.9995053
441,275.83,-156.59009,0.9998627
442,277.22,-157.75955,0.9995461
443,276.05,-145.5349,0.9995633
444,288.28,-145.11502,0.9997213
445,288.7,-141.12589,0.9997861
446,292.69,-140.19597,0.99990904
447,293.62,-139.3862,0.99972653
448,294.43,-144.22389,0.9995214
449,289.59,-146.09288,0.9994541
450,287.72,-149.16066,0.99927634
451,284.65,-152.20912,0.9994823
452,281.6,-151.20082,0.99840015
453,282.61,-152.57611,0.9965747
454,281.23,-148.60281,0.99583787
455,285.22,-151.92207,0.9937303
456,281.88,-155.219,0.9990548
457,278.58,-154.21922,0.99977285
458,279.58,-172.79837,0.99995416
459,261.0,-168.71872,0.99991566
460,265.08,-169.32866,0.99989146
461,264.47,-163.40942,0.999869
462,270.39,-167.41873,0.9998235
463,266.38,-169.71773,0.9995594
464,264.08,-168.11853,0.99950254
465,265.68,-172.24512,0.9991685
466,261.55,-175.28343,0.99944675
467,258.51,-175.81316,0.999345
468,257.98,-222.59023,0.99737823
469,211.08,-207.03967,0.99683577
470,226.68,-198.38084,0.99871457
471,235.35,-201.1591,0.99937207
472,232.57,-203.3387,0.9997788
473,230.39,-205.55383,0.9977814
474,228.17,-223.21678,0.9990346
475,210.49,-212.10394,0.9993562
476,221.61,-207.88522,0.99970114
477,225.83,-208.94516,0.99988157
478,224.77,-202.32755,0.99814445
479,231.4,-203.9411,0.9959375
480,229.78,-204.96045,0.99934024
481,228.76,-203.66075,0.99976647
482,230.06,-205.60042,0.9998232
483,228.12,-204.44087,0.9996592
484,229.28,-206.53741,0.9982331
485,227.18,-203.44278,0.99195427
486,230.3,-198.7291,0.9986639
487,235.02,-193.91444,0.99889827
488,239.84,-193.90445,0.99972063
489,239.85,-190.14642,0.99947953
490,243.61,-195.58496,0.9997308
491,238.17,-195.27498,0.99994516
492,238.48,-193.64505,0.99995923
493,240.11,-198.52487,0.999963
494,235.23,-203.24475,0.9999575
495,230.51,-203.11508,0.9979246
496,230.64,-203.45499,0.9996505
497,230.3,-204.66486,0.9998983
498,229.09,-203.94495,0.99987066
499,229.81,-200.77547,0.9998415
500,232.98,-202.26505,0.9996966
501,231.49,-202.54471,0.99863756
502,231.21,-206.66312,0.9996123
503,227.09,-203.13422,0.9996861
504,230.62,-203.4741,0.99964756
505,230.28,-199.2251,0.999769
506,234.53,-198.61528,0.9997093
507,235.14,-199.4149,0.9995324
508,234.34,-200.99417,0.99952686
509,232.76,-194.61848,0.99932444
510,239.14,-197.0666,0.99923223
511,236.69,-197.69594,0.99892485
512,236.06,-196.20804,0.99860275
513,237.55,-196.4678,0.9990125
514,237.29,-195.02847,0.99953955
515,238.73,-195.49832,0.99966854
516,238.26,-193.37875,0.9998027
517,240.38,-187.7004,0.9997099
518,246.06,-190.78947,0.99969876
519,242.97,-191.45938,0.99985266
520,242.3,-189.82976,0.99977136
521,243.93,-188.82008,0.9996759
522,244.94,-186.71059,0.9997624
523,247.05,-188.45003,0.9996769
524,245.31,-184.25145,0.99965996
525,249.51,-181.77232,0.9996523
526,251.99,-179.44295,0.99973196
527,254.32,-170.89471,0.9997935
528,262.87,-163.12735,0.99966276
529,270.64,-172.12273,0.9994862
530,261.64,-170.32343,0.9996118
531,263.44,-164.30629,0.99952674
532,269.46,-167.49556,0.9997718
533,266.27,-159.74706,0.99980754
534,274.02,-157.26787,0.99967575
535,276.5,-152.12024,0.99954
536,281.65,-150.09084,0.9997051
537,283.68,-148.47131,0.9997072
538,285.3,-139.98268,0.99983984
539,293.79,-129.1558,0.99971217
540,304.62,-119.91851,0.99970764
541,313.86,-105.76148,0.9997904
542,328.02,-119.60657,0.9996446
543,314.17,-108.34846,0.9998322
544,325.43,-72.59266,0.9998827
545,361.19,-30.367958,0.9998744
546,403.42,-22.228714,0.9999082
547,411.56,-47.430447,0.9996717
548,386.35,-59.304054,0.9994613
549,374.47,-47.297245,0.99973524
550,386.48,-60.406506,0.9999436
551,373.37,-53.51666,0.9999794
552,380.26,-96.945526,0.99974185
553,336.82,-122.624405,0.9976221
554,311.08,-95.56116,0.99975085
555,338.15,-96.961136,0.999984
556,336.75,-100.801094,0.9999889
557,332.91,-113.53959,0.99987966
558,320.17,-102.96779,0.9992269
559,330.75,-98.62844,0.9998509
560,335.09,-99.12842,0.9999538
561,334.59,-107.56829,0.9999834
562,326.15,-111.69749,0.9997846
563,322.02,-106.79972,0.9975195
564,326.93,-109.18712,0.9988914
565,324.54,-110.67391,0.99782205
566,323.05,-113.66567,0.9968216
567,320.05,-105.80106,0.9643692
568,328.21,-85.08418,0.8483619
569,352.68,-86.2522,-0.21496333
570,358.04,-86.4029,0.18037121
571,357.38,-72.88685,0.9717583
572,371.29,-66.85974,0.9995237
573,377.32,-81.689156,0.9999606
574,362.49,-84.988914,0.99992687
575,359.19,-83.12903,0.9999393
576,361.05,-80.99907,0.9999804
577,363.18,-55.22973,0.9999745
578,388.95,-55.399734,0.9999872
579,388.78,-48.641304,0.99978596
580,395.54,-28.686138,0.99676764
581,415.56,-26.686478,0.9998328
582,417.56,-28.766388,0.9999567
583,415.48,7.690517,0.99991524
584,451.94,-9.246371,0.9998159
585,435.0,-10.486306,0.99994797
586,433.76,-0.06687951,0.9999451
587,444.18,21.072502,0.99997073
588,465.32,10.68284,0.99996716
589,454.93,11.832711,0.99988866
590,456.08,19.37179,0.9998797
591,463.62,18.072412,0.9995105
592,462.32,-1.5515816,0.99918383
593,442.68,-5.5907946,0.99980134
594,438.64,-7.6596026,0.9994165
595,436.57,-1.8306484,0.9998214
596,442.4,10.748545,0.9999359
597,454.98,11.41851,0.9999494
598,455.65,-26.95982,0.9999564
599,417.27,-21.410048,0.99995947
600,422.82,-21.949986,0.9998825
601,422.28,-11.251418,0.99986666
602,432.98,-17.609655,0.99970055
603,426.62,-13.674845,0.9961725
604,430.57,-9.922699,0.99794734
605,434.33,-10.808024,0.99454755
606,433.44,-14.234632,0.9990032
607,430.01,-11.155865,0.999652
608,433.09,-12.281248,0.995603
609,431.96,-15.09416,0.9868184
610,429.11,13.811855,0.9988284
611,458.05,9.007104,0.99683064
612,453.23,3.401026,0.99751925
613,447.61,3.7798176,0.9970361
614,447.99,4.2193985,0.99908984
615,448.43,-8.514968,0.999557
616,435.69,-11.83435,0.9998125
617,432.37,-13.89419,0.99992126
618,430.31,-79.865524,0.9998678
619,364.33,-56.68796,0.9986042
620,387.54,-61.9259,0.9996045
621,382.3,-57.05685,0.9998059
622,387.17,-64.07644,0.99994063
623,380.15,-24.004398,0.99980146
624,420.23,-33.97362,0.99991816
625,410.26,-61.712738,0.9988865
626,382.49,-56.71359,0.99982995
627,387.49,-41.236557,0.9998095
628,402.97,-52.469364,0.9993592
629,391.73,-52.04957,0.99963975
630,392.15,-49.234287,0.9983332
631,394.97,-63.88328,0.99787986
632,380.29,-64.69918,0.9949698
633,379.47,-65.90389,0.9956147
634,378.26,-75.34879,0.9951563
635,368.77,-71.17729,0.9735265
636,373.06,-70.00129,0.8503332
637,374.45,-74.49798,0.9992612
638,369.95,-54.86411,0.9996884
639,389.59,-57.903812,0.9999025
640,386.55,-67.933556,0.99997413
641,376.52,-67.83356,0.9999797
642,376.62,-71.00349,0.9999771
643,373.45,-68.42352,0.99998426
644,376.03,-62.803795,0.99997437
645,381.65,-64.7976,0.9968639
646,379.65,-60.19367,0.9987683
647,384.26,-52.677807,0.98897856
648,391.86,-37.332333,0.998405
649,407.23,-44.37303,0.99867344
650,400.18,-37.063766,0.9998998
651,407.49,-28.235435,0.9998208
652,416.32,-22.199696,0.99765575
653,422.37,-23.779057,0.99958754
654,420.79,-7.410151,0.99993336
655,437.16,-5.7704225,0.99983567
656,438.8,-6.8202963,0.99987787
657,437.75,-23.829113,0.9999304
658,420.74,-19.619623,0.99987906
659,424.95,-20.029568,0.9998608
660,424.54,-12.420612,0.99986315
661,432.15,-12.050711,0.9997518
662,432.52,-11.071112,0.99959147
663,433.5,-6.872859,0.99958605
664,437.7,-9.452367,0.9998067
665,435.12,-20.582075,0.99997365
666,423.99,-22.922007,0.9999692
667,421.65,-33.630554,0.99986434
668,410.94,-43.99926,0.9998749
669,400.57,-36.860928,0.9997668
670,407.71,-30.252886,0.99970424
671,414.32,-30.602806,0.99966305
672,413.97,-29.714005,0.99870294
673,414.86,-27.449484,0.9975998
674,417.13,-22.896854,0.9983916
675,421.69,-32.959755,0.99929327
676,411.62,-30.512625,0.99883324
677,414.07,-28.146034,0.9985802
678,416.44,-27.757076,0.99748415
679,416.83,-27.577261,0.99901676
680,417.01,-23.971529,0.998827
681,420.62,-35.037933,0.9996751
