,sharp_grurl_20_2
0,-0.08952355
1,-0.058541156
2,-0.012411409
3,0.057100885
4,0.109286286
5,0.13478754
6,0.15321057
7,0.16923456
8,0.184053
9,0.19815494
10,0.21181077
11,0.2251983
12,0.23844945
13,0.25167406
14,0.2649786
15,0.2784847
16,0.292353
17,0.3068131
18,0.32219642
19,0.33896226
20,0.35769728
21,0.37906823
22,0.40370405
23,0.4320087
24,0.4639596
25,0.49900356
26,0.53616
27,0.5743092
28,0.6124649
29,0.6498296
30,0.6856882
31,0.7193245
32,0.749966
33,0.7767781
34,0.7991232
35,0.81713915
36,0.8328054
37,0.85374916
38,0.900877
39,0.9503209
40,0.98543876
41,0.98977286
42,1.0001392
43,1.0135406
44,1.0532943
45,1.0825939
46,1.0756531
47,1.0724889
48,1.07888
49,1.0913101
50,1.1126454
51,1.1341999
52,1.1383547
53,1.1358006
54,1.1544698
55,1.160321
56,1.166296
57,1.1752145
58,1.1823007
59,1.1920195
60,1.2061515
61,1.2183381
62,1.2247058
63,1.2298306
64,1.2385833
65,1.2500639
66,1.2588934
67,1.2670821
68,1.2764485
69,1.2874528
70,1.3002061
71,1.313464
72,1.3258165
73,1.3372798
74,1.350342
75,1.3666255
76,1.3839422
77,1.4022775
78,1.4232508
79,1.446276
80,1.4721668
81,1.499728
82,1.5284503
83,1.5568733
84,1.5844829
85,1.6104803
86,1.6344957
87,1.6562761
88,1.6766913
89,1.6969709
90,1.7174121
91,1.7377028
92,1.758578
93,1.7797446
94,1.8006356
95,1.8209878
96,1.8405417
97,1.8593495
98,1.8773556
99,1.8952081
100,1.9130383
101,1.9302799
102,1.9464055
103,1.9615182
104,1.975303
105,1.9883974
106,2.001165
107,2.014358
108,2.0266292
109,2.041103
110,2.0462987
111,2.043108
112,2.1005952
113,2.0154028
114,2.0240011
115,2.0383778
116,2.0972652
117,2.0899944
118,2.1088836
119,2.126939
120,2.13029
121,2.165217
122,2.167712
123,2.1678772
124,2.197302
125,2.205392
126,2.2575853
127,2.2694747
128,2.2983112
129,2.3028255
130,2.3099768
131,2.2911844
132,2.288938
133,2.299407
134,2.3150735
135,2.3161933
136,2.3107018
137,2.320116
138,2.3211904
139,2.323048
140,2.3222325
141,2.322895
142,2.3272448
143,2.331186
144,2.333253
145,2.335165
146,2.3374026
147,2.337866
148,2.3397105
149,2.3421268
150,2.3454566
151,2.3468192
152,2.3478518
153,2.3493586
154,2.3513947
155,2.3534968
156,2.355385
157,2.357161
158,2.3587635
159,2.3601058
160,2.3614216
161,2.362952
162,2.3646739
163,2.3666072
164,2.3688855
165,2.3714674
166,2.3742263
167,2.3771732
168,2.3802245
169,2.3831174
170,2.385887
171,2.3884962
172,2.3908594
173,2.392826
174,2.3943968
175,2.3956785
176,2.3967896
177,2.397818
178,2.3988087
179,2.3997803
180,2.4007413
181,2.401697
182,2.4026582
183,2.4036498
184,2.4047003
185,2.4058292
186,2.4070637
187,2.4083965
188,2.4097724
189,2.4111736
190,2.4125793
191,2.4139485
192,2.4152656
193,2.416476
194,2.4175456
195,2.4184923
196,2.4193356
197,2.420088
198,2.4207706
199,2.4214385
200,2.423112
201,2.4034104
202,2.4043818
203,2.4018753
204,2.3984725
205,2.4000585
206,2.4044442
207,2.406676
208,2.4088333
209,2.4295473
210,2.4231827
211,2.4207702
212,2.4213188
213,2.4237454
214,2.4261105
215,2.3992515
216,2.400808
217,2.3753748
218,2.406706
219,2.2946928
220,2.3900242
221,2.2936661
222,2.2588344
223,2.3220441
224,2.3163414
225,2.3776257
226,2.369568
227,2.403402
228,2.3858428
229,2.3749657
230,2.3786523
231,2.386552
232,2.4076574
233,2.4017723
234,2.3999112
235,2.4020414
236,2.4073663
237,2.4106197
238,2.414701
239,2.3929322
240,2.3958552
241,2.3989494
242,2.4026408
243,2.407457
244,2.4136736
245,2.4137151
246,2.4080038
247,2.4122162
248,2.4131052
249,2.415019
250,2.4161427
251,2.412969
252,2.413472
253,2.415443
254,2.4269629
255,2.416893
256,2.4266124
257,2.4152412
258,2.2353957
259,2.4125814
260,2.2700918
261,2.183109
262,2.3175304
263,2.4172
264,2.2330687
265,2.130681
266,2.3020818
267,2.404031
268,2.2332542
269,2.1733603
270,2.2147565
271,2.3076482
272,2.3733518
273,2.3595164
274,2.2652
275,2.182346
276,2.2516015
277,2.2918177
278,2.302101
279,2.3060448
280,2.3148625
281,2.3332229
282,2.368346
283,2.3969612
284,2.343826
285,2.343657
286,2.3539174
287,2.3584738
288,2.3528628
289,2.3499823
290,2.3669329
291,2.3918288
292,2.4184327
293,2.418109
294,2.398614
295,2.4287627
296,2.4333282
297,2.4233484
298,2.438316
299,2.4358582
300,2.4165974
301,2.4126263
302,2.3823864
303,2.3970394
304,2.4032989
305,2.416999
306,2.4264543
307,2.4270883
308,2.4272566
309,2.3880064
310,2.3928895
311,2.4306908
312,2.4310508
313,2.431016
314,2.4309034
315,2.4319696
316,2.4215367
317,2.4211326
318,2.4278364
319,2.4340172
320,2.4329185
321,2.432222
322,2.4331007
323,2.4353402
324,2.4375572
325,2.4315543
326,2.4389756
327,2.4376724
328,2.4361053
329,2.4354062
330,2.4360316
331,2.4375727
332,2.439271
333,2.440593
334,2.4413512
335,2.44157
336,2.4414122
337,2.4412014
338,2.4413457
339,2.442101
340,2.443434
341,2.4451654
342,2.4472172
343,2.449699
344,2.4528193
345,2.4568517
346,2.4620845
347,2.468587
348,2.4758546
349,2.482745
350,2.4881546
351,2.4918065
352,2.4941785
353,2.4959197
354,2.4974105
355,2.4979498
356,2.499934
357,2.5011466
358,2.502411
359,2.503702
360,2.5049214
361,2.5059953
362,2.5068805
363,2.5075428
364,2.5079474
365,2.5084126
366,2.5087893
367,2.5090516
368,2.5092692
369,2.5094614
370,2.5096335
371,2.5097878
372,2.5099256
373,2.51005
374,2.5101645
375,2.5102727
376,2.5103798
377,2.510488
378,2.5105977
379,2.5107079
380,2.5108173
381,2.510923
382,2.5110238
383,2.51112
384,2.5112114
385,2.5112987
386,2.5113823
387,2.511464
388,2.511543
389,2.5116198
390,2.5116935
391,2.511765
392,2.5118327
393,2.5118973
394,2.511959
395,2.5120177
396,2.5120742
397,2.5121293
398,2.512182
399,2.5122335
400,2.5122833
401,2.5123317
402,2.5123785
403,2.5124242
404,2.5124693
405,2.5125127
406,2.5125556
407,2.5125985
408,2.51264
409,2.512681
410,2.5127215
411,2.5127614
412,2.5128012
413,2.5128398
414,2.5128782
415,2.5129156
416,2.5129535
417,2.5129905
418,2.5130267
419,2.513063
420,2.5130987
421,2.5131342
422,2.5131693
423,2.5132036
424,2.5132382
425,2.5132716
426,2.5133054
427,2.5133386
428,2.513371
429,2.5134032
430,2.5134354
431,2.513467
432,2.5134985
433,2.5135293
434,2.5135598
435,2.5135903
436,2.5136204
437,2.5136507
438,2.5136802
439,2.5137088
440,2.513738
441,2.5137668
442,2.5137951
443,2.513823
444,2.5138512
445,2.5138786
446,2.5139058
447,2.513933
448,2.5139601
449,2.5139866
450,2.5140128
451,2.514039
452,2.514065
453,2.5140905
454,2.5141163
455,2.5141416
456,2.514166
457,2.5141912
458,2.514216
459,2.5142405
460,2.5142648
461,2.514289
462,2.5143127
463,2.5143363
464,2.5143597
465,2.5143828
466,2.514406
467,2.5144289
468,2.5144515
469,2.514474
470,2.514496
471,2.5145185
472,2.5145407
473,2.5145626
474,2.5145838
475,2.5146058
476,2.5146272
477,2.5146477
478,2.514669
479,2.51469
480,2.5147107
481,2.514731
482,2.5147514
483,2.5147715
484,2.5147917
485,2.5148122
486,2.5148313
487,2.514851
488,2.5148704
489,2.5148902
490,2.514909
491,2.514928
492,2.514947
493,2.5149658
494,2.5149846
495,2.515003
496,2.5150213
497,2.5150397
498,2.5150576
499,2.5150754
500,2.515093
501,2.5151112
502,2.5151289
503,2.515146
504,2.5151637
505,2.5151808
506,2.515198
507,2.515215
508,2.5152316
509,2.5152488
510,2.5152652
511,2.5152817
512,2.515298
513,2.515314
514,2.5153306
515,2.5153463
516,2.5153625
517,2.5153782
518,2.515394
519,2.5154097
520,2.515425
521,2.5154405
522,2.5154557
523,2.5154712
524,2.515486
525,2.515501
526,2.5155158
527,2.5155306
528,2.5155454
529,2.5155602
530,2.5155747
531,2.515589
532,2.515603
533,2.5156176
534,2.5156314
535,2.5156455
536,2.5156596
537,2.5156736
538,2.5156872
539,2.5157008
540,2.5157142
541,2.5157275
542,2.5157413
543,2.5157545
544,2.5157676
545,2.515781
546,2.515794
547,2.515807
548,2.5158195
549,2.5158324
550,2.5158455
551,2.5158577
552,2.5158706
553,2.5158827
554,2.5158951
555,2.515908
556,2.51592
557,2.515932
558,2.5159438
559,2.5159564
560,2.515968
561,2.5159798
562,2.5159914
563,2.5160034
564,2.5160153
565,2.516027
566,2.516038
567,2.5160491
568,2.516061
569,2.516072
570,2.5160832
571,2.5160942
572,2.5161057
573,2.5161166
574,2.5161276
575,2.5161386
576,2.5161493
577,2.51616
578,2.516171
579,2.5161817
580,2.516192
581,2.5162024
582,2.5162127
583,2.5162232
584,2.5162332
585,2.5162435
586,2.5162542
587,2.516264
588,2.5162742
589,2.5162842
590,2.516294
591,2.5163038
592,2.5163136
593,2.5163233
594,2.516333
595,2.5163429
596,2.5163524
597,2.516362
598,2.5163713
599,2.5163808
600,2.51639
601,2.5163996
602,2.5164084
603,2.516418
604,2.516427
605,2.516436
606,2.5164454
607,2.516454
608,2.5164633
609,2.516472
610,2.5164812
611,2.5164902
612,2.5164983
613,2.5165074
614,2.5165157
615,2.5165243
616,2.516533
617,2.516542
618,2.5165503
619,2.5165584
620,2.5165665
621,2.5165753
622,2.5165834
623,2.5165915
624,2.5166
625,2.5166082
626,2.5166163
627,2.5166242
628,2.5166323
629,2.5166404
630,2.516648
631,2.516656
632,2.5166638
633,2.5166714
634,2.5166795
635,2.516687
636,2.5166948
637,2.5167024
638,2.5167098
639,2.5167172
640,2.5167248
641,2.5167322
642,2.5167398
643,2.5167475
644,2.5167546
645,2.5167618
646,2.5167694
647,2.5167763
648,2.5167832
649,2.5167906
650,2.5167978
651,2.5168047
652,2.516812
653,2.5168185
654,2.5168257
655,2.5168328
656,2.5168397
657,2.5168464
658,2.516853
659,2.51686
660,2.516867
661,2.5168736
662,2.5168803
663,2.5168867
664,2.5168936
665,2.5169
666,2.5169065
667,2.5169125
668,2.5169196
669,2.5169258
670,2.5169325
671,2.5169387
672,2.5169451
673,2.5169513
674,2.5169578
675,2.516964
676,2.5169702
677,2.5169764
678,2.5169828
679,2.5169883
680,2.5169952
681,2.5170007
682,2.5170064
683,2.5170128
684,2.5170193
685,2.5170248
686,2.517031
687,2.517037
688,2.5170424
689,2.5170481
690,2.517054
691,2.5170603
692,2.5170658
693,2.5170712
694,2.517077
695,2.517083
696,2.5170882
697,2.5170937
698,2.5170996
699,2.517105
700,2.5171103
701,2.517116
702,2.5171218
703,2.517127
704,2.517132
705,2.5171375
706,2.517143
707,2.5171485
708,2.517154
709,2.517159
710,2.5171645
711,2.51717
712,2.517175
713,2.5171804
714,2.5171852
715,2.5171902
716,2.517195
717,2.517201
718,2.5172057
719,2.5172102
720,2.5172153
721,2.517221
722,2.5172262
723,2.5172307
724,2.5172355
725,2.5172405
726,2.5172455
727,2.5172503
728,2.517255
729,2.5172598
730,2.5172646
731,2.5172696
732,2.5172741
733,2.517279
734,2.517284
735,2.5172884
736,2.517293
737,2.5172977
738,2.5173023
739,2.5173073
740,2.5173113
741,2.517316
742,2.5173204
743,2.517325
744,2.51733
745,2.5173342
746,2.5173385
747,2.517343
748,2.5173476
749,2.5173519
750,2.5173562
751,2.5173602
752,2.517365
753,2.5173688
754,2.5173736
755,2.517378
756,2.5173821
757,2.5173864
758,2.5173907
759,2.5173948
760,2.517399
761,2.5174034
762,2.5174074
763,2.5174115
764,2.5174158
765,2.5174196
766,2.517424
767,2.5174282
768,2.517432
769,2.5174363
770,2.5174398
771,2.517444
772,2.517448
773,2.5174522
774,2.517456
775,2.51746
776,2.517464
777,2.5174677
778,2.5174716
779,2.5174754
780,2.5174792
781,2.5174828
782,2.517487
783,2.5174906
784,2.5174947
785,2.517498
786,2.5175018
787,2.517506
788,2.5175095
789,2.517513
790,2.517517
791,2.5175204
792,2.5175245
793,2.5175278
794,2.5175314
795,2.517535
796,2.5175388
797,2.517542
798,2.517546
799,2.5175495
800,2.5175529
801,2.5175564
802,2.51756
803,2.5175636
804,2.517567
805,2.5175705
806,2.517574
807,2.5175772
808,2.5175807
809,2.517584
810,2.517588
811,2.517591
812,2.517594
813,2.5175974
814,2.517601
815,2.517604
816,2.5176075
817,2.517611
818,2.5176141
819,2.5176175
820,2.5176208
821,2.5176244
822,2.5176275
823,2.5176306
824,2.517634
825,2.5176368
826,2.51764
827,2.5176432
828,2.5176468
829,2.5176494
830,2.517653
831,2.517656
832,2.5176592
833,2.517662
834,2.5176651
835,2.5176682
836,2.517671
837,2.5176742
838,2.5176773
839,2.5176806
840,2.5176837
841,2.5176864
842,2.5176895
843,2.517692
844,2.5176954
845,2.5176983
846,2.5177011
847,2.517704
848,2.5177069
849,2.5177102
850,2.517713
851,2.5177157
852,2.5177186
853,2.5177214
854,2.5177245
855,2.5177271
856,2.5177302
857,2.5177329
858,2.517736
859,2.5177386
860,2.5177414
861,2.5177443
862,2.517747
863,2.5177498
864,2.5177526
865,2.517755
866,2.517758
867,2.5177608
868,2.5177634
869,2.517766
870,2.517769
871,2.517771
872,2.517774
873,2.5177767
874,2.517779
875,2.5177824
876,2.5177846
877,2.5177872
878,2.51779
879,2.5177927
880,2.5177948
881,2.5177977
882,2.5178003
883,2.5178027
884,2.5178056
885,2.517808
886,2.5178108
887,2.5178127
888,2.5178154
889,2.5178177
890,2.5178208
891,2.5178227
892,2.5178254
893,2.5178277
894,2.5178304
895,2.5178328
896,2.5178354
897,2.517838
898,2.5178406
899,2.5178428
900,2.517845
901,2.5178475
902,2.5178497
903,2.517852
904,2.5178547
905,2.5178568
906,2.5178592
907,2.5178618
908,2.5178642
909,2.5178661
910,2.5178685
911,2.517871
912,2.5178733
913,2.517876
914,2.5178778
915,2.5178802
916,2.5178828
917,2.517885
918,2.5178866
919,2.5178893
920,2.5178914
921,2.5178938
922,2.5178962
923,2.517898
924,2.5179005
925,2.5179026
926,2.5179045
927,2.517907
928,2.5179093
929,2.5179114
930,2.5179133
931,2.5179157
932,2.5179179
933,2.51792
934,2.517922
935,2.517924
936,2.5179267
937,2.5179281
938,2.5179305
939,2.517933
940,2.5179343
941,2.517937
942,2.5179389
943,2.517941
944,2.517943
945,2.517945
946,2.5179472
947,2.5179489
948,2.5179513
949,2.5179534
950,2.5179553
951,2.5179574
952,2.517959
953,2.5179617
954,2.5179634
955,2.5179653
956,2.5179675
957,2.5179696
958,2.5179713
959,2.5179732
960,2.517975
961,2.517977
962,2.5179791
963,2.5179813
964,2.5179832
965,2.517985
966,2.5179868
967,2.5179884
968,2.5179906
969,2.5179925
970,2.5179946
971,2.5179965
972,2.517998
973,2.5180001
974,2.518002
975,2.518004
976,2.5180056
977,2.5180075
978,2.5180092
979,2.518011
980,2.518013
981,2.5180147
982,2.5180166
983,2.5180185
984,2.5180206
985,2.518022
986,2.5180237
987,2.5180256
988,2.5180275
989,2.5180295
990,2.518031
991,2.5180328
992,2.518035
993,2.5180361
994,2.5180378
995,2.5180402
996,2.5180416
997,2.5180433
998,2.5180447
999,2.5180466
